USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.0 225884  9664 ?        Ss   Aug01   0:21 /sbin/init splash
root        48  0.0  0.0      0     0 ?        I<   Aug01   0:00 [devfreq_wq]
root        49  0.0  0.0      0     0 ?        I<   Aug01   0:00 [watchdogd]
root        55  0.0  0.0      0     0 ?        S    Aug01   0:00 [kswapd0]
root        56  0.0  0.0      0     0 ?        I<   Aug01   0:00 [kworker/u9:0]
root        57  0.0  0.0      0     0 ?        S    Aug01   0:00 [ecryptfs-kthrea]
root        99  0.0  0.0      0     0 ?        I<   Aug01   0:00 [kthrotld]
root       100  0.0  0.0      0     0 ?        I<   Aug01   0:00 [acpi_thermal_pm]
root       101  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_0]
root       102  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_0]
root       103  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_1]
root       104  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_1]
root       110  0.0  0.0      0     0 ?        I<   Aug01   0:00 [ipv6_addrconf]
root       119  0.0  0.0      0     0 ?        I<   Aug01   0:00 [kstrp]
root       136  0.0  0.0      0     0 ?        I<   Aug01   0:00 [charger_manager]
root       192  0.0  0.0      0     0 ?        I<   Aug01   0:00 [mpt_poll_0]
root       193  0.0  0.0      0     0 ?        I<   Aug01   0:00 [mpt/0]
root       194  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_2]
root       195  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_2]
root       196  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_3]
root       197  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_3]
root       198  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_4]
root       199  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_4]
root       200  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_5]
root       201  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_5]
root       202  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_6]
root       203  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_6]
root       204  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_7]
root       205  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_7]
root       206  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_8]
root       207  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_8]
root       208  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_9]
root       209  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_9]
root       210  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_10]
root       211  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_10]
root       212  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_11]
root       213  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_11]
root       214  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_12]
root       215  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_12]
root       216  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_13]
root       217  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_13]
root       218  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_14]
root       219  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_14]
root       220  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_15]
root       221  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_15]
root       222  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_16]
root       223  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_16]
root       224  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_17]
root       225  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_17]
root       226  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_18]
root       227  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_18]
root       228  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_19]
root       229  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_19]
root       230  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_20]
root       231  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_20]
root       232  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_21]
root       233  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_21]
root       234  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_22]
root       235  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_22]
root       236  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_23]
root       237  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_23]
root       238  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_24]
root       239  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_24]
root       240  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_25]
root       241  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_25]
root       242  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_26]
root       243  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_26]
root       244  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_27]
root       245  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_27]
root       246  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_28]
root       247  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_28]
root       248  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_29]
root       249  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_29]
root       250  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_30]
root       251  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_30]
root       252  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_31]
root       253  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_31]
root       281  0.0  0.0      0     0 ?        S    Aug01   0:00 [scsi_eh_32]
root       282  0.0  0.0      0     0 ?        I<   Aug01   0:00 [scsi_tmf_32]
root       283  0.0  0.0      0     0 ?        I<   Aug01   0:00 [ttm_swap]
root       284  0.0  0.0      0     0 ?        S    Aug01   0:00 [irq/16-vmwgfx]
root       298  0.0  0.0      0     0 ?        I<   Aug01   0:00 [kworker/1:1H]
root       368  0.0  0.0      0     0 ?        I<   Aug01   0:00 [kworker/0:1H]
root       372  0.0  0.0      0     0 ?        I<   Aug01   0:00 [kworker/2:1H]
root       380  0.0  0.0      0     0 ?        I<   Aug01   0:00 [kworker/3:1H]
root       381  0.0  0.0      0     0 ?        S    Aug01   0:10 [jbd2/sda1-8]
root       382  0.0  0.0      0     0 ?        I<   Aug01   0:00 [ext4-rsv-conver]
root       412  0.0  0.2 144720 47552 ?        S<s  Aug01   0:04 /lib/systemd/systemd-journald
root       433  0.0  0.0  47448  5712 ?        Ss   Aug01   0:10 /lib/systemd/systemd-udevd
root       441  0.0  0.0      0     0 ?        S<   Aug01   0:00 [loop0]
root       471  0.0  0.0      0     0 ?        S<   Aug01   0:00 [loop2]
root       482  0.0  0.0      0     0 ?        S<   Aug01   0:00 [loop3]
root       489  0.0  0.0      0     0 ?        S<   Aug01   0:00 [loop4]
root       490  0.0  0.0      0     0 ?        S<   Aug01   0:00 [loop5]
root       493  0.0  0.0      0     0 ?        S<   Aug01   0:00 [loop6]
root       494  0.0  0.0      0     0 ?        S<   Aug01   0:00 [loop7]
root       495  0.0  0.0      0     0 ?        S<   Aug01   0:00 [loop8]
root       496  0.0  0.0      0     0 ?        S<   Aug01   0:00 [loop9]
root       497  0.0  0.0      0     0 ?        S<   Aug01   0:00 [loop10]
root       498  0.0  0.0      0     0 ?        S<   Aug01   0:00 [loop11]
root       499  0.0  0.0      0     0 ?        S<   Aug01   0:00 [loop12]
root       501  0.0  0.0      0     0 ?        S<   Aug01   0:00 [loop13]
root       502  0.0  0.0      0     0 ?        S<   Aug01   0:00 [loop14]
root       503  0.0  0.0      0     0 ?        S<   Aug01   0:00 [loop15]
root       504  0.0  0.0      0     0 ?        S<   Aug01   0:00 [loop16]
root       505  0.0  0.0      0     0 ?        S<   Aug01   0:00 [loop17]
root       506  0.0  0.0      0     0 ?        S<   Aug01   0:00 [loop18]
root       507  0.0  0.0      0     0 ?        S<   Aug01   0:00 [loop19]
root       508  0.0  0.0      0     0 ?        S<   Aug01   0:00 [loop20]
root       509  0.0  0.0      0     0 ?        S<   Aug01   0:00 [loop21]
root       510  0.0  0.0      0     0 ?        S<   Aug01   0:00 [loop22]
root       511  0.0  0.0      0     0 ?        S<   Aug01   0:00 [loop23]
root       512  0.0  0.0      0     0 ?        S<   Aug01   0:00 [loop24]
root       513  0.0  0.0      0     0 ?        S<   Aug01   0:00 [loop25]
root       514  0.0  0.0      0     0 ?        S<   Aug01   0:00 [loop26]
root       515  0.0  0.0      0     0 ?        S<   Aug01   0:00 [loop27]
systemd+   548  0.0  0.0 145964  3304 ?        Ssl  Aug01   0:00 /lib/systemd/systemd-timesyncd
systemd+   549  0.0  0.0  71076  6452 ?        Ss   Aug01   0:10 /lib/systemd/systemd-resolved
root       722  0.0  0.0  91196 10316 ?        Ss   Aug01   0:00 /usr/bin/VGAuthService
root       723  0.0  0.0 228492  7908 ?        S<sl Aug01   6:16 /usr/bin/vmtoolsd
message+   860  0.0  0.0  52840  6868 ?        Ss   Aug01   0:12 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root       866  0.0  0.0 427268  9108 ?        Ssl  Aug01   0:00 /usr/sbin/ModemManager
root       871  0.0  0.1 170828 17500 ?        Ssl  Aug01   0:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root       876  0.0  0.0  45240  5452 ?        Ss   Aug01   0:01 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
root       886  0.0  0.0  31324  3272 ?        Ss   Aug01   0:00 /usr/sbin/cron -f
root       887  0.0  0.0   4560   852 ?        Ss   Aug01   0:00 /usr/sbin/acpid
root       888  0.0  0.3 1189832 53344 ?       Ssl  Aug01   0:51 /usr/lib/snapd/snapd
root       890  0.0  0.0 287724  7228 ?        Ssl  Aug01   0:06 /usr/lib/accountsservice/accounts-daemon
root       892  0.0  0.1 558876 17200 ?        Ssl  Aug01   0:36 /usr/sbin/NetworkManager --no-daemon
root       894  0.0  0.0 503744 11760 ?        Ssl  Aug01   0:00 /usr/lib/udisks2/udisksd
avahi      895  0.0  0.0  47272  3304 ?        Ss   Aug01   0:36 avahi-daemon: running [ubuntu174-ad2-vm-5.local]
root       897  0.0  0.0  70572  6120 ?        Ss   Aug01   0:01 /lib/systemd/systemd-logind
syslog     900  0.0  0.0 269340  5192 ?        Ssl  Aug01   0:00 /usr/sbin/rsyslogd -n
root       901  0.0  0.0 110552  2120 ?        Ssl  Aug01   0:30 /usr/sbin/irqbalance --foreground
root       916  0.0  0.0 296380 10408 ?        Ssl  Aug01   0:06 /usr/lib/policykit-1/polkitd --no-debug
avahi      927  0.0  0.0  47084   344 ?        S    Aug01   0:00 avahi-daemon: chroot helper
mongodb   1001  0.2  0.4 1025296 79296 ?       Ssl  Aug01  18:29 /usr/bin/mongod --unixSocketPrefix=/run/mongodb --config /etc/mongodb.conf
guacd     1007  0.0  0.0  78272  9912 ?        S    Aug01   0:00 /usr/sbin/guacd -b 127.0.0.1 -l 4822 -p /var/run/guacd/guacd.pid
root      1011  0.0  0.0  72304  5748 ?        Ss   Aug01   0:00 /usr/sbin/sshd -D
root      1018  0.0  0.0 301080  7984 ?        Ssl  Aug01   0:00 /usr/sbin/gdm3
root      1021  0.0  0.0  25996  6240 ?        S    Aug01   0:00 /sbin/dhclient -d -q -sf /usr/lib/NetworkManager/nm-dhcp-helper -pf /run/dhclient-ens160.pid -lf /var/lib/NetworkManager/dhclient-6c8fad43-a2cb-30c5-97c4-d93d82baaa86-ens160.lease -cf /var/lib/NetworkManager/dhclient-ens160.conf ens160
root      1036  0.0  0.0 254448  8392 ?        Sl   Aug01   0:00 gdm-session-worker [pam/gdm-launch-environment]
gdm       1089  0.0  0.0  76908  8024 ?        Ss   Aug01   0:00 /lib/systemd/systemd --user
gdm       1092  0.0  0.0 114080  2688 ?        S    Aug01   0:00 (sd-pam)
gdm       1122  0.0  0.0 190692  5568 tty1     Ssl+ Aug01   0:00 /usr/lib/gdm3/gdm-wayland-session gnome-session --autostart /usr/share/gdm/greeter/autostart
gdm       1126  0.0  0.0  50264  4768 ?        Ss   Aug01   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gdm       1137  0.0  0.0 625416 13572 tty1     Sl+  Aug01   0:00 /usr/lib/gnome-session/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
gdm       1161  0.0  1.2 3829464 204624 tty1   Sl+  Aug01   2:03 /usr/bin/gnome-shell
root      1188  0.0  0.0 306880  8356 ?        Ssl  Aug01   0:00 /usr/lib/upower/upowerd
gdm       1254  0.0  0.2 514492 39264 tty1     Sl+  Aug01   0:00 /usr/bin/Xwayland :1024 -rootless -terminate -accessx -core -listen 4 -listen 5 -displayfd 6
gdm       1282  0.0  0.0 349404  6404 ?        Ssl  Aug01   0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
gdm       1287  0.0  0.0  49932  3884 ?        S    Aug01   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
gdm       1307  0.0  0.0 220768  5656 ?        Sl   Aug01   0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
gdm       1315  0.0  0.0 1236692 12932 ?       Ssl  Aug01   0:00 /usr/bin/pulseaudio --daemonize=no
rtkit     1330  0.0  0.0 183516  3068 ?        SNsl Aug01   0:03 /usr/lib/rtkit/rtkit-daemon
whoopsie  1545  0.0  0.0 462216 12724 ?        Ssl  Aug01   0:00 /usr/bin/whoopsie -f
kernoops  1567  0.0  0.0  56944   424 ?        Ss   Aug01   0:16 /usr/sbin/kerneloops --test
kernoops  1573  0.0  0.0  56944   416 ?        Ss   Aug01   0:16 /usr/sbin/kerneloops
root      1678  0.0  0.0  25996  6220 ?        S    Aug01   0:00 /sbin/dhclient -d -q -6 -N -sf /usr/lib/NetworkManager/nm-dhcp-helper -pf /run/dhclient6-ens160.pid -lf /var/lib/NetworkManager/dhclient6-6c8fad43-a2cb-30c5-97c4-d93d82baaa86-ens160.lease -cf /var/lib/NetworkManager/dhclient6-ens160.conf ens160
gdm       1802  0.0  0.0 354260  7780 tty1     Sl   Aug01   0:00 ibus-daemon --xim --panel disable
gdm       1889  0.0  0.0 273504  5864 tty1     Sl   Aug01   0:00 /usr/lib/ibus/ibus-dconf
gdm       1894  0.0  0.3 776312 50000 tty1     Sl   Aug01   0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
gdm       1898  0.0  0.0 271452  5888 ?        Sl   Aug01   0:00 /usr/lib/ibus/ibus-portal
root      1992  0.0  0.0 289676  7200 ?        Ssl  Aug01   0:01 /usr/lib/x86_64-linux-gnu/boltd
root      2003  0.0  0.6 515368 99684 ?        Ssl  Aug01   2:28 /usr/lib/packagekit/packagekitd
gdm       2004  0.0  0.1 487464 22048 tty1     Sl+  Aug01   0:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
gdm       2007  0.0  0.0 271044  5856 tty1     Sl+  Aug01   0:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
gdm       2014  0.0  0.1 336572 20388 tty1     Sl+  Aug01   0:00 /usr/lib/gnome-settings-daemon/gsd-clipboard
gdm       2016  0.0  0.1 651572 22204 tty1     Sl+  Aug01   2:06 /usr/lib/gnome-settings-daemon/gsd-color
gdm       2018  0.0  0.0 386608 13748 tty1     Sl+  Aug01   0:00 /usr/lib/gnome-settings-daemon/gsd-datetime
gdm       2021  0.0  0.0 276632  5992 tty1     Sl+  Aug01   0:00 /usr/lib/gnome-settings-daemon/gsd-housekeeping
gdm       2022  0.0  0.1 490940 20704 tty1     Sl+  Aug01   0:00 /usr/lib/gnome-settings-daemon/gsd-keyboard
gdm       2024  0.0  0.1 1074712 23532 tty1    Sl+  Aug01   0:00 /usr/lib/gnome-settings-daemon/gsd-media-keys
gdm       2028  0.0  0.0 194892  4516 tty1     Sl+  Aug01   0:00 /usr/lib/gnome-settings-daemon/gsd-mouse
gdm       2030  0.0  0.1 510084 22360 tty1     Sl+  Aug01   0:00 /usr/lib/gnome-settings-daemon/gsd-power
gdm       2034  0.0  0.0 259916  8616 tty1     Sl+  Aug01   0:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
gdm       2041  0.0  0.0 194912  4672 tty1     Sl+  Aug01   0:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
gdm       2047  0.0  0.0 268628  4828 tty1     Sl+  Aug01   0:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
gdm       2052  0.0  0.0 298004  8296 tty1     Sl+  Aug01   0:00 /usr/lib/gnome-settings-daemon/gsd-sharing
gdm       2054  0.0  0.0 370956  7832 tty1     Sl+  Aug01   0:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
gdm       2057  0.0  0.0 327864  7976 tty1     Sl+  Aug01   0:00 /usr/lib/gnome-settings-daemon/gsd-sound
gdm       2063  0.0  0.1 421352 21528 tty1     Sl+  Aug01   0:00 /usr/lib/gnome-settings-daemon/gsd-wacom
colord    2087  0.0  0.0 317864 13920 ?        Ssl  Aug01   0:00 /usr/lib/colord/colord
gdm       2137  0.0  0.0 197784  6588 tty1     Sl   Aug01   0:00 /usr/lib/ibus/ibus-engine-simple
root      3298  0.0  0.0 100604  8060 ?        Ss   00:09   0:00 /usr/sbin/cupsd -l
root      3299  0.0  0.0 303544 10936 ?        Ssl  00:09   0:00 /usr/sbin/cups-browsed
cynet     5640  0.0  0.0 437016  7560 ?        Sl   10:56   0:00 /usr/lib/gvfs/gvfsd-network --spawner :1.13 /org/gtk/gvfs/exec_spaw/1
cynet     5679  0.0  0.0 374188  7368 ?        Sl   10:56   0:00 /usr/lib/gvfs/gvfsd-dnssd --spawner :1.13 /org/gtk/gvfs/exec_spaw/5
root      6824  0.0  0.1 567156 24348 ?        Ssl  11:03   0:00 /usr/lib/fwupd/fwupd
root      6931  0.0  0.0  11316   320 ?        Ss   11:05   0:00 ssh-agent -s
root      7803  0.0  0.0      0     0 ?        I    11:40   0:01 [kworker/u8:3]
root      8083  0.0  0.0      0     0 ?        I<   Aug01   0:00 [iprt-VBoxWQueue]
root      8086  0.0  0.0      0     0 ?        S    Aug01   0:00 [iprt-VBoxTscThr]
root      8122  0.0  0.0 408232  9048 ?        Sl   Aug01   0:00 gdm-session-worker [pam/gdm-password]
cuckoo    8126  0.0  0.0  77020  8200 ?        Ss   Aug01   0:00 /lib/systemd/systemd --user
cuckoo    8127  0.0  0.0 261544  2732 ?        S    Aug01   0:00 (sd-pam)
cynet     8128  0.0  0.0  18968  3940 tty3     S+   11:42   0:00 git push -u origin dev-linux-cr
cynet     8129  0.0  0.0  52272  5852 tty3     S+   11:42   0:00 /usr/bin/ssh git@github.com git-receive-pack 'seanshx/DFIR.git'
cuckoo    8140  0.0  0.0 281260  7660 ?        Sl   Aug01   0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
cuckoo    8144  0.0  0.0 205028  5956 tty2     Ssl+ Aug01   0:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu gnome-session --session=ubuntu
cuckoo    8146  0.0  1.4 1011228 239524 tty2   Sl+  Aug01   1:09 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1001/gdm/Xauthority -background none -noreset -keeptty -verbose 3
cuckoo    8154  0.0  0.0  53940  8448 ?        Ss   Aug01   0:01 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
cuckoo    8157  0.0  0.0 560416 14496 tty2     Sl+  Aug01   0:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
cuckoo    8250  0.0  0.0  11316   320 ?        Ss   Aug01   0:01 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu gnome-session --session=ubuntu
cuckoo    8256  0.0  0.0 349292  5956 ?        Ssl  Aug01   0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
cuckoo    8261  0.0  0.0  50056  4432 ?        S    Aug01   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
cuckoo    8264  0.0  0.0 220784  6912 ?        Sl   Aug01   0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
cuckoo    8289  0.1  2.7 4192292 452952 tty2   Sl+  Aug01  10:26 /usr/bin/gnome-shell
cuckoo    8299  0.0  0.0 358592  7088 ?        Ssl  Aug01   0:00 /usr/lib/gvfs/gvfsd
cuckoo    8304  0.0  0.0 416116  5380 ?        Sl   Aug01   0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1001/gvfs -f -o big_writes
cuckoo    8315  0.0  0.0 1253912 13940 ?       S<l  Aug01   0:19 /usr/bin/pulseaudio --start --log-target=syslog
cuckoo    8327  0.0  0.0 428508  8332 tty2     Sl   Aug01   0:02 ibus-daemon --xim --panel disable
cuckoo    8331  0.0  0.1 690968 22600 ?        Sl   Aug01   0:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
cuckoo    8335  0.0  0.0 273640  6648 tty2     Sl   Aug01   0:00 /usr/lib/ibus/ibus-dconf
cuckoo    8337  0.0  0.1 336780 20548 tty2     Sl   Aug01   0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
cuckoo    8341  0.0  0.0 271452  5780 ?        Sl   Aug01   0:00 /usr/lib/ibus/ibus-portal
cuckoo    8353  0.0  0.1 1365048 25892 ?       Ssl  Aug01   0:00 /usr/lib/evolution/evolution-source-registry
cuckoo    8365  0.0  0.2 783844 33480 ?        Sl   Aug01   0:00 /usr/lib/gnome-online-accounts/goa-daemon
cuckoo    8366  0.0  0.0 299460  8864 ?        Ssl  Aug01   0:01 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
cuckoo    8372  0.0  0.0 281524  5980 ?        Ssl  Aug01   0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
cuckoo    8379  0.0  0.0 296256  7588 ?        Sl   Aug01   0:00 /usr/lib/gnome-online-accounts/goa-identity-service
cuckoo    8384  0.0  0.0 266940  5792 ?        Ssl  Aug01   0:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
cuckoo    8390  0.0  0.0 268732  5288 ?        Ssl  Aug01   0:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
cuckoo    8394  0.0  0.0 371724  7752 ?        Ssl  Aug01   0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
cuckoo    8399  0.0  0.1 509852 22028 tty2     Sl+  Aug01   0:00 /usr/lib/gnome-settings-daemon/gsd-power
cuckoo    8400  0.0  0.0 342232 10224 tty2     Sl+  Aug01   0:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
cuckoo    8402  0.0  0.0 416240  5984 tty2     Sl+  Aug01   0:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
cuckoo    8403  0.0  0.0 268628  4792 tty2     Sl+  Aug01   0:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
cuckoo    8405  0.0  0.0 445732  9380 tty2     Sl+  Aug01   0:04 /usr/lib/gnome-settings-daemon/gsd-sharing
cuckoo    8409  0.0  0.0 370956  7872 tty2     Sl+  Aug01   0:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
cuckoo    8415  0.0  0.0 327868  7856 tty2     Sl+  Aug01   0:00 /usr/lib/gnome-settings-daemon/gsd-sound
